"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vip",0,2.49193709667027,0.968,0.103,0,"Cluster 1","Vip"
"Cbln2",0,1.47595489255537,0.828,0.147,0,"Cluster 1","Cbln2"
"Sorcs3",2.14404362870598e-303,1.47215086908746,0.998,0.558,2.79154480457519e-300,"Cluster 1","Sorcs3"
"Prox1",2.77011614510527e-299,1.30408095239264,0.955,0.236,3.60669122092706e-296,"Cluster 1","Prox1"
"Adarb2",5.81721959683113e-275,1.59887696495477,0.998,0.495,7.57401991507413e-272,"Cluster 1","Adarb2"
"Sorcs1",6.70594767095282e-253,1.56501735147559,0.965,0.517,8.73114386758057e-250,"Cluster 1","Sorcs1"
"Sez6",3.21837914169224e-244,1.20688185315509,0.998,0.73,4.1903296424833e-241,"Cluster 1","Sez6"
"Csmd3",1.79022209257843e-241,0.952214069008654,1,0.961,2.33086916453711e-238,"Cluster 1","Csmd3"
"Kcnt2",3.6935642953635e-239,1.09435386196344,0.992,0.634,4.80902071256328e-236,"Cluster 1","Kcnt2"
"Igf1",4.93562908923638e-227,1.05927384833337,0.986,0.623,6.42618907418576e-224,"Cluster 1","Igf1"
"Hs6st3",4.6890609358971e-210,1.15527084923456,0.992,0.747,6.10515733853802e-207,"Cluster 1","Hs6st3"
"Slc44a5",3.58863046257112e-191,0.999344621955472,0.975,0.679,4.6723968622676e-188,"Cluster 1","Slc44a5"
"Nrxn1",1.56821764102481e-186,0.496367757479646,1,0.994,2.04181936861431e-183,"Cluster 1","Nrxn1"
"Sdk1",1.57943821932636e-186,0.966118927223773,0.975,0.752,2.05642856156292e-183,"Cluster 1","Sdk1"
"Magi3",1.50758731490659e-179,0.726358405651378,0.98,0.875,1.96287868400837e-176,"Cluster 1","Magi3"
"Cdh12",5.37333116395209e-175,1.01110858292869,0.992,0.854,6.99607717546562e-172,"Cluster 1","Cdh12"
"Egfr",9.35890539896893e-173,1.12083888671391,0.75,0.21,1.21852948294575e-169,"Cluster 1","Egfr"
"Sema5b",2.66931851069755e-165,1.4036496174597,0.7,0.251,3.47545270092821e-162,"Cluster 1","Sema5b"
"Penk",1.47575673042675e-164,1.63285047742738,0.59,0.137,1.92143526301563e-161,"Cluster 1","Penk"
"Fstl4",3.64547373410716e-158,0.947201564128948,0.949,0.534,4.74640680180752e-155,"Cluster 1","Fstl4"
"Shisa8",4.99402503406024e-156,0.957118399723225,0.519,0.098,6.50222059434644e-153,"Cluster 1","Shisa8"
"Kit",3.63492045856878e-149,1.00176980671713,0.897,0.411,4.73266643705655e-146,"Cluster 1","Kit"
"Arpp21",4.61059075167037e-148,0.888736177514475,0.952,0.659,6.00298915867483e-145,"Cluster 1","Arpp21"
