data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,0.007646345,0.001065372,0.002913032,Sst,PS0817_E1-50_S19,5
Ephys,0.000760566,0.012545504,-0.005881537,Sst,PS0817_E1-50_S26,3
Ephys,-0.000524137,0.013483956,-0.007020746,Sst,PS0817_E1-50_S27,3
Ephys,-0.000357891,0.014119848,-0.007896197,Sst,PS0817_E1-50_S28,3
Ephys,0.001144428,0.014685886,-0.006699471,Sst,PS0817_E1-50_S46,3
Ephys,-0.000759066,0.012191085,-0.006119453,Sst,PS0817_E1-50_S52,3
Ephys,0.012312158,-0.002529936,0.015926053,Vip,PS0830_E1-50_S17,1
Ephys,0.012208769,-0.001217939,0.015927915,Vip,PS0830_E1-50_S26,1
Ephys,-0.016677314,-0.010130498,0.003559542,Pvalb,PS0830_E1-50_S70,5
Ephys,-0.016417652,-0.00858795,0.005194771,Pvalb,PS0830_E1-50_S83,5
Ephys,-0.018420365,-0.009365997,0.006088396,Pvalb,PS0830_E1-50_S85,2
Ephys,0.013632069,-0.005382731,0.01612618,Vip,PS0921_E1-50_S06,1
Ephys,0.012108436,-0.014892059,-0.005485692,Vip,PS0921_E1-50_S12,5
Ephys,-0.020685207,-0.00959959,0.006479075,Pvalb,SM-GE62S_S110_E1-50,2
Ephys,-0.000322475,0.010260504,-0.004145612,Sst,SM-GE62S_S111_E1-50,3
Ephys,0.001378907,0.013776454,-0.006077272,Sst,SM-GE62S_S113_E1-50,3
Ephys,0.000848954,0.014625572,-0.006797536,Sst,SM-GE62S_S116_E1-50,3
Ephys,-0.000842249,0.013247513,-0.007028766,Sst,SM-GE62S_S118_E1-50,3
Ephys,-0.004715031,0.010237762,-0.005771588,Sst,SM-GE62S_S119_E1-50,3
Ephys,0.000696811,0.01389947,-0.006627125,Sst,SM-GE62S_S123_E1-50,3
Ephys,0.000242921,0.01595682,-0.00814465,Sst,SM-GE62S_S125_E1-50,3
Ephys,-0.002013148,0.011284335,-0.005942412,Sst,SM-GE63V_S097_E1-50,3
Ephys,0.001209346,0.01213824,-0.006603144,Sst,SM-GE63V_S098_E1-50,3
Ephys,0.008316688,-0.004212151,0.009155192,Vip,SM-GE63V_S161_E1-50,5
Ephys,0.006911778,0.006261987,0.006009186,Vip,SM-GE63V_S153_E1-50,5
Ephys,0.013833579,-0.003896077,0.017927744,Vip,SM-GE63V_S162_E1-50,1
Ephys,-0.003238115,0.012275078,-0.007275882,Sst,SM-GE63V_S163_E1-50,3
Ephys,0.013147343,-0.005535213,0.015144954,Vip,SM-GE63V_S155_E1-50,1
Ephys,0.014764853,-0.00574844,0.020542299,Vip,SM-GE63V_S181_E1-50,1
Ephys,0.011852779,-0.026046759,-0.029759943,Lamp5,SM-GE63V_S182_E1-50,4
Ephys,0.002211782,0.00234574,0.003974056,Vip,SM-GE63V_S183_E1-50,5
Ephys,0.011709868,-0.025973413,-0.028805288,Lamp5,SM-GE63V_S192_E1-50,4
Ephys,0.011539374,-0.001106478,0.014206209,Vip,SM-GE63O_S006_E1-50,1
Ephys,0.011194858,-0.025411809,-0.027976968,Lamp5,SM-GE63O_S008_E1-50,4
Ephys,0.010978801,-0.024098398,-0.025069692,Lamp5,SM-GE63O_S010_E1-50,4
Ephys,0.011353489,-0.0241157,-0.025062774,Lamp5,SM-GE63O_S026_E1-50,4
Ephys,0.01353306,-0.00890853,0.008822994,Vip,SM-GE63O_S034_E1-50,5
Ephys,0.013248779,-0.002545998,0.018833434,Vip,SM-GE63O_S037_E1-50,1
Ephys,-0.009894443,0.002393745,-0.000456044,Pvalb,SM-GE63O_S056_E1-50,5
Ephys,0.014505184,-0.005495316,0.019706028,Vip,SM-GE63O_S065_E1-50,1
Ephys,0.014223211,-0.005213227,0.019106469,Vip,SM-GE63O_S066_E1-50,1
Ephys,0.012755554,-0.00377602,0.01489983,Vip,SM-GE63O_S072_E1-50,1
Ephys,0.01324018,-0.003728428,0.019013869,Vip,SM-GE63O_S060_E1-50,1
Ephys,0.010854036,-0.004114111,0.014064874,Vip,SM-GE63O_S068_E1-50,1
Ephys,0.011539647,-0.002451935,0.013702267,Vip,SM-GE63O_S061_E1-50,1
Ephys,0.014335348,-0.005360452,0.019495154,Vip,SM-GE63H_S098_E1-50,1
Ephys,0.011461434,-0.005782467,0.01229708,Vip,SM-GE63H_S101_E1-50,5
Ephys,0.014532977,-0.004683065,0.020860888,Vip,SM-GE63H_S099_E1-50,1
Ephys,0.011707637,-0.025275481,-0.027027301,Lamp5,SM-GE63H_S102_E1-50,4
Ephys,0.010287955,-0.007197723,0.004307144,Vip,SM-GE63H_S100_E1-50,5
Ephys,-0.011767632,-0.007638571,0.003555432,Pvalb,SM-GE63H_S119_E1-50,5
Ephys,0.010410848,-5.38E-05,0.012101555,Vip,SM-GE63H_S126_E1-50,1
Ephys,0.013204147,-0.002283515,0.018566828,Vip,SM-GE63H_S127_E1-50,1
Ephys,0.014562721,-0.005271073,0.020481167,Vip,SM-GE63H_S132_E1-50,1
Ephys,0.014595249,-0.004956243,0.021005612,Vip,SM-GE63H_S121_E1-50,1
Ephys,0.010841833,-0.003886207,0.013161096,Vip,SM-GE63H_S128_E1-50,5
Ephys,0.011655525,-0.006291281,0.012525656,Vip,SM-GE63H_S122_E1-50,5
Ephys,-0.013005491,-0.007540577,0.003715536,Pvalb,SM-GE63H_S152_E1-50,5
Ephys,0.013626818,-0.004894417,0.017007931,Vip,SM-GE63H_S142_E1-50,1
Ephys,-0.000173296,0.01308188,-0.006914455,Sst,SM-GE63H_S143_E1-50,3
Ephys,0.01150613,-0.025638582,-0.027864216,Lamp5,SM-GE63H_S147_E1-50,4
Ephys,0.009458123,-0.003001719,0.008703533,Vip,SM-GE63H_S135_E1-50,5
Ephys,-0.020712126,-0.009696574,0.005552217,Pvalb,SM-GE63H_S136_E1-50,2
Ephys,0.001543316,0.00895682,-0.005266797,Sst,SM-GE63H_S145_E1-50,5
Ephys,0.011946706,-0.025566811,-0.027590645,Lamp5,SM-GE63H_S169_E1-50,4
Ephys,-0.020302062,-0.008271487,0.005103633,Pvalb,SM-GE63H_S165_E1-50,2
Ephys,0.011775361,-0.003261232,0.014612054,Vip,SM-GE63H_S175_E1-50,1
Ephys,-0.001322938,0.013351539,-0.008092051,Sst,SM-GE63H_S172_E1-50,3
Ephys,0.014512603,-0.005257285,0.020291426,Vip,SM-GE63H_S153_E1-50,1
